number,value,state,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_split_gain,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_fold_log_losses,user_attrs_mean_validation_log_loss
42,0.6564512454776006,COMPLETE,0.9971339279933722,0.05241789700819338,6,331,0.024220497739005007,0.12305135929864872,1619,11,2.773079892673853e-06,6.190964578549035,0.700955598293187,7,"[0.6798889417048585, 0.6674903665009373, 0.69348765178135, 0.685152061078222, 0.691121321418503, 0.6532157595761902, 0.6899345619323611, 0.6930057231749045, 0.6790700632528207, 0.6935374933238463, 0.6928063357406019, 0.577261540764208, 0.5275911091570477, 0.6937295086685541, 0.6249676676948165, 0.6693808918116685, 0.5480301755383196]",0.6564512454776006
43,0.6841699444502543,PRUNED,0.8889148825501859,0.07549276390334086,5,448,0.378134118707576,0.008558015907164512,1899,15,4.166864772786268e-05,11.862118483466373,0.6057082143004143,7,,
44,0.6568353347031805,COMPLETE,0.9901659489875082,0.03608971515111153,9,318,0.042556766343869644,0.0024819007509059854,1100,9,0.0003137840702372854,6.35288453813622,0.6151650716912747,6,"[0.6835374681019569, 0.6673706873459854, 0.693309508096711, 0.6879890496681099, 0.6873382227092837, 0.6558202655808605, 0.6913322568097303, 0.6931218653814838, 0.6788545304012952, 0.6934684844877955, 0.6932917088794716, 0.5795078942769638, 0.5288707469869366, 0.6934703370964043, 0.6268308359698757, 0.6674418809575576, 0.5446449472036459]",0.6568353347031805
45,0.6828272618930676,PRUNED,0.9554361338721551,0.04786171690994724,5,50,0.0002628151434633489,0.5704501264546925,2103,13,3.900352411039569e-06,3.1399787224349596,0.8741472808313203,6,,
46,0.6829140632059878,PRUNED,0.8673602268793715,0.05836656839362408,6,202,0.08609017793074167,0.14763217656785602,1104,28,5.040083092439501e-08,2.129323647892512,0.6655883718896478,5,,
47,0.6842786870368699,PRUNED,0.9771527448184649,0.04626164443255763,6,583,0.0006450140297646464,0.1796925878270223,1690,16,0.053910543207889704,0.11213897142956544,0.7032809495183424,7,,
48,0.6560792204432586,COMPLETE,0.9324353352137443,0.07466430356635,3,342,0.0002576295675312887,0.708937445979178,2347,9,6.341424865579277e-08,6.108106073359554,0.741925687659107,7,"[0.6770091375357307, 0.665473649990904, 0.6938864612921849, 0.6852699531807096, 0.6910213469819216, 0.6603674824435524, 0.6891721263138311, 0.6932344096387291, 0.6804329691081794, 0.6942592021656758, 0.6930318985907382, 0.5756657228258977, 0.5281045397386256, 0.6936338259741814, 0.6204722046013343, 0.6686748570727563, 0.5436369600804444]",0.6560792204432586
49,0.657189323670184,COMPLETE,0.9688852301904675,0.061794642440315475,3,523,0.241264082132052,0.7339417369105503,2154,21,1.4610029465953469e-08,1.3154624132381352,0.896187024219095,4,"[0.6824252942026133, 0.6670278803343984, 0.6938454453349706, 0.6867378583943753, 0.6896614779913861, 0.6590621488513326, 0.6889621792533188, 0.6932598695317983, 0.680123912186752, 0.6938655465996475, 0.6925160446976456, 0.5811937499849136, 0.5299846628286499, 0.6934869425554481, 0.6267119525063793, 0.6685906870874141, 0.5447628500520849]",0.657189323670184
50,0.6569795486192181,COMPLETE,0.9527740777626971,0.04359034318134625,4,232,0.0002673040484898744,0.793601570503082,2194,13,3.458461407303147e-08,0.6762799105684745,0.7766854985469789,7,"[0.6785117461743305, 0.6683054298233957, 0.6936185254111941, 0.686618527434402, 0.6915543761068486, 0.6623394998328993, 0.6887487932150377, 0.6931112483998728, 0.6789481457524557, 0.6934317318437523, 0.6931245230920111, 0.5802709504857456, 0.5258859680970112, 0.6933314968773212, 0.6294775767091849, 0.6689191434000228, 0.5424546438712229]",0.6569795486192181
51,0.6566280823692859,COMPLETE,0.9176026923089222,0.018659626860095088,3,420,0.7134887390984236,0.3161480892265405,2006,9,2.7892539113990096e-06,0.37178927937327955,0.7943162478120396,5,"[0.6814579780218949, 0.6690471802702839, 0.6933397325226943, 0.6871943192202002, 0.6893187743397635, 0.6585709746493043, 0.688491592490386, 0.6931034961214726, 0.6768591510770351, 0.6933803146637657, 0.6925957337454433, 0.5822633275728198, 0.5270151670905701, 0.6932358947258117, 0.6249280489774373, 0.668980135889331, 0.5428955788996468]",0.6566280823692859
